ID,artist,title,picture data,file info,jpg url,image_path,born-died,period,school,url,base,nationality,image_exists
0,"AACHEN, Hans von",venus and adonis,"1574-88, oil on canvas, 68 x 95 cm, fogg art museum, harvard university, cambridge","1700*1211, true color, 252 kb",https://www.wga.hu/art/a/aachen/adonis.jpg,historic_art_dataset/images/complete/artwork/0.jpg,(1552-1615),Mannerism,painter,https://www.wga.hu/html/a/aachen/index.html,Germany,German,False
1,"AACHEN, Hans von",procuring scene,"1605-10, oil on wood, 114 x 130 cm, kunsthistorisches museum, vienna","1370*1168, true color, 212 kb",https://www.wga.hu/art/a/aachen/z_scene.jpg,historic_art_dataset/images/complete/artwork/1.jpg,(1552-1615),Mannerism,painter,https://www.wga.hu/html/a/aachen/index.html,Germany,German,False
2,"AACHEN, Hans von",self-portrait with a glass of wine,"c. 1596, oil on canvas, 53 x 44 cm, private collection","896*1074, true color, 57 kb",https://www.wga.hu/art/a/aachen/selfport.jpg,historic_art_dataset/images/complete/artwork/2.jpg,(1552-1615),Mannerism,painter,https://www.wga.hu/html/a/aachen/index.html,Germany,German,False
3,"AACHEN, Hans von",two laughing men (self-portrait),"before 1574, oil on panel, 48 x 39 cm, archdiocesan museum, kromeriz","1173*1500, true color, 210 kb",https://www.wga.hu/art/a/aachen/selfpor1.jpg,historic_art_dataset/images/complete/artwork/3.jpg,(1552-1615),Mannerism,painter,https://www.wga.hu/html/a/aachen/index.html,Germany,German,False
4,"AACHEN, Hans von",portrait of emperor rudolf ii,"1606-08, oil on canvas, 60 x 48 cm, kunsthistorisches museum, vienna","1149*1500, true color, 247 kb",https://www.wga.hu/art/a/aachen/rudolf2.jpg,historic_art_dataset/images/complete/artwork/4.jpg,(1552-1615),Mannerism,painter,https://www.wga.hu/html/a/aachen/index.html,Germany,German,False
5,"AACHEN, Hans von",boy with grapes,"1600-05, oil on wood, 45 x 36 cm, kunsthistorisches museum, vienna","1108*1418, true color, 220 kb",https://www.wga.hu/art/a/aachen/portrai4.jpg,historic_art_dataset/images/complete/artwork/5.jpg,(1552-1615),Mannerism,painter,https://www.wga.hu/html/a/aachen/index.html,Germany,German,False
6,"AACHEN, Hans von",anna of tyrol,"1604, oil on canvas, 58 x 48 cm, kunsthistorisches museum, vienna","954*1153, true color, 213 kb",https://www.wga.hu/art/a/aachen/portrai3.jpg,historic_art_dataset/images/complete/artwork/6.jpg,(1552-1615),Mannerism,painter,https://www.wga.hu/html/a/aachen/index.html,Germany,German,False
7,"AACHEN, Hans von",portrait of painter josef heintz,"1585, oil on canvas, 57 x 44 cm, národní galerie, prague","1511*2000, true color, 223 kb",https://www.wga.hu/art/a/aachen/portrai2.jpg,historic_art_dataset/images/complete/artwork/7.jpg,(1552-1615),Mannerism,painter,https://www.wga.hu/html/a/aachen/index.html,Germany,German,False
8,"AACHEN, Hans von",gaspar rem,"1574-75, oil on canvas, 49 x 42 cm, kunsthistorisches museum, vienna","1043*1242, true color, 136 kb",https://www.wga.hu/art/a/aachen/portrai1.jpg,historic_art_dataset/images/complete/artwork/8.jpg,(1552-1615),Mannerism,painter,https://www.wga.hu/html/a/aachen/index.html,Germany,German,False
9,"AACHEN, Hans von",a couple in a tavern,"1595-1605, oil on canvas, 63 x 51 cm, kunsthistorisches museum, vienna","1102*1369, true color, 128 kb",https://www.wga.hu/art/a/aachen/k_couple.jpg,historic_art_dataset/images/complete/artwork/9.jpg,(1552-1615),Mannerism,painter,https://www.wga.hu/html/a/aachen/index.html,Germany,German,False
10,"AACHEN, Hans von",declaration of war before constantine,"1603-04, parchment mounted on canvas, 34 x 42 cm, kunsthistorisches museum, vienna","1200*969, true color, 226 kb",https://www.wga.hu/art/a/aachen/war.jpg,historic_art_dataset/images/complete/artwork/10.jpg,(1552-1615),Mannerism,painter,https://www.wga.hu/html/a/aachen/index.html,Germany,German,True
11,"AACHEN, Hans von",pan and selene,"1600-05, oil on panel, 40 x 49 cm, private collection","1500*1203, true color, 251 kb",https://www.wga.hu/art/a/aachen/gods1.jpg,historic_art_dataset/images/complete/artwork/11.jpg,(1552-1615),Mannerism,painter,https://www.wga.hu/html/a/aachen/index.html,Germany,German,False
12,"AACHEN, Hans von",the amazement of the gods,"1590s, oil on copper, 36 x 46 cm, national gallery, london","1200*943, true color, 192 kb",https://www.wga.hu/art/a/aachen/gods.jpg,historic_art_dataset/images/complete/artwork/12.jpg,(1552-1615),Mannerism,painter,https://www.wga.hu/html/a/aachen/index.html,Germany,German,False
