Product,Price
633561 KS DICED TOM,2.97
878137  18CT EGGS,6.29
77053 GRAPE TOMATO,6.49
Check /Member Prntd,0.00
BAR,2.88
'FRNK 4590001903,2.88
"TNDRBRO""CHiR4BR 3727101318",3.64
SUNBEAN' BUNS,1.98
WINCO HoMo MILK 7055240600,2.48
EGGS,1.37
IOTAL,121.92
79E05,2.68
6 WING PLATE 020108870398,3.98
ASST 27,4.88
DEBIT,23.19
"WOMEN SLIPPE 00972561,4790",9.86
watik,0.98
GRILL COVER ' 471288396027,14.97
FIBER CHOICE 036926600094,12.94
1 Ib /1.44,3.61
2.51 Ib,3.61
6 WING PLATE 020108870398,3.98
ASST 27,4.88
DEBIT,23.19
DEBIT,0.00
3F4,2.49
Eo29EENut Butter,2.49
CREAMY SALTED,1.69
1 Ib /0.49,0.20
Ib,0.20
FRAP,5.48
